[94249] 22 Nov 20:34:51 * Server started, Redis version 2.0.4
[94249] 22 Nov 20:34:51 * The server is now ready to accept connections on port 6379
[94249] 22 Nov 20:34:52 - 0 clients connected (0 slaves), 1074368 bytes in use
[94249] 22 Nov 20:34:57 - 0 clients connected (0 slaves), 1074368 bytes in use
[94249] 22 Nov 20:35:02 - 0 clients connected (0 slaves), 1074368 bytes in use
[94249] 22 Nov 20:35:07 - 0 clients connected (0 slaves), 1074368 bytes in use
[94249] 22 Nov 20:35:11 - Accepted 127.0.0.1:62079
[94249] 22 Nov 20:35:12 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:17 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:22 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:27 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:32 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:37 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:42 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:47 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:52 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:35:57 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:02 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:07 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:12 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:17 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:22 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:27 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:32 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:37 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:42 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:47 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:52 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:36:57 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:02 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:07 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:12 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:17 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:22 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:27 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:32 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:37 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:42 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:47 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:52 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:37:57 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:38:02 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:38:07 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:38:12 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:38:17 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:38:22 - 1 clients connected (0 slaves), 1075152 bytes in use
[94249] 22 Nov 20:38:27 - 1 clients connected (0 slaves), 1075152 bytes in use
